Date,Open,High,Low,Close,Adj Close,Volume
2018-04-17,50240.000000,50540.000000,49820.000000,49980.000000,43412.988281,7772000
2018-04-18,51000.000000,51360.000000,50580.000000,51360.000000,44611.664063,13462600
2018-04-19,52000.000000,52980.000000,51540.000000,52780.000000,45845.085938,17190550
2018-04-20,51800.000000,52260.000000,51420.000000,51620.000000,44837.500000,11761000
2018-04-23,51000.000000,52080.000000,51000.000000,51900.000000,45080.707031,11619000
2018-04-24,51840.000000,51860.000000,50080.000000,50460.000000,43829.917969,15770300
2018-04-25,49220.000000,50500.000000,49220.000000,50400.000000,43777.808594,16614600
2018-04-26,50420.000000,52160.000000,50400.000000,52140.000000,45289.179688,18046550
2018-04-27,53380.000000,53640.000000,52440.000000,53000.000000,46036.179688,30310800
2018-04-30,53000.000000,53000.000000,53000.000000,53000.000000,46036.179688,0
2018-05-02,53000.000000,53000.000000,53000.000000,53000.000000,46036.179688,0
2018-05-03,53000.000000,53000.000000,53000.000000,53000.000000,46036.179688,0
2018-05-04,53000.000000,53900.000000,51800.000000,51900.000000,45080.707031,39565391
2018-05-08,52600.000000,53200.000000,51900.000000,52600.000000,45688.734375,23104720
2018-05-09,52600.000000,52800.000000,50900.000000,50900.000000,44212.097656,16128305
2018-05-10,51700.000000,51700.000000,50600.000000,51600.000000,44820.128906,13905263
2018-05-11,52000.000000,52200.000000,51200.000000,51300.000000,44559.550781,10314997
2018-05-14,51000.000000,51100.000000,49900.000000,50100.000000,43517.214844,14909272
2018-05-15,50200.000000,50400.000000,49100.000000,49200.000000,42735.468750,18709146
2018-05-16,49200.000000,50200.000000,49150.000000,49850.000000,43300.062500,15918683
2018-05-17,50300.000000,50500.000000,49400.000000,49400.000000,42909.191406,10365440
2018-05-18,49900.000000,49900.000000,49350.000000,49500.000000,42996.046875,6706570
2018-05-21,49650.000000,50200.000000,49100.000000,50000.000000,43430.363281,9020998
2018-05-23,50600.000000,52000.000000,50400.000000,51800.000000,44993.847656,17095490
